Mã HP,Tên HP,Thời lượng,Số tín chỉ,TC học phí,Trọng số,Học phần điều kiện,Tên tiếng anh,Tên viết tắt,Viện quản lý
IT4025,Mật mã ứng dụng,3(3-1-0-6),3,4,0.6,IT4015,Applied Cryptography,Mật mã ứng dụng,KCNTT
IT4190,An toàn hệ thống,3(3-1-0-6),3,4,0.7,IT4015,Information System Security,An toàn hệ thống,KCNTT
IT4263,An ninh mạng,3(2-0-2-6),3,5,0.6,"IT1110, IT4015",Network Security,An ninh mạng,KCNTT
IT4220,Quản trị an toàn thông tin và rủi ro,2(2-0-0-4),2,2,0.6,IT4015,Security and Risks Management,Quản trị an toàn thông tin và rủi ro,KCNTT
IT4830,Phòng chống tấn công mạng,3(2-0-1-6),3,3.5,0.6,IT4263,System Protection Againts Network Attacks,Phòng chống tấn công mạng,KCNTT
IT4403,Phát triển hệ thống Web an toàn,2(2-1-0-4),2,3,0.7,IT3045,Development of Secure Web Applications,Phát triển hệ thống Web an toàn,KCNTT
IT4911,Đồ án môn học (Thiết kế hệ thống ATTT),3(0-0-6-12),3,6,0.7,IT3930,Project on System Security,Đồ án môn học (Thiết kế hệ thống ATTT),KCNTT
IT4810,Đánh giá kiểm định an toàn hệ thống thông tin,3(2-1-1-6),3,4.5,0.7,"IT4190,IT4263",Information System Security Assessment,Đánh giá kiểm định an toàn hệ thống thông tin,KCNTT
IT4320,An toàn trong giao dịch điện tử,3(3-1-0-6),3,4,0.7,"IT4263,IT4025",Secure Electronic Transactions,An toàn trong giao dịch điện tử,KCNTT
IT4450,Cơ sở pháp lý số,2(2-0-1-4),2,3.5,0.7,IT4015,Basics of Digital Forensics,Cơ sở pháp lý số,KCNTT
IT4570,Phát hiện lỗi và lỗ hổng bảo mật phần mềm,2(2-0-1-4),2,3.5,0.7,IT4015,Detection of Software Security Vulnerabilities,Phát hiện lỗi và lỗ hổng bảo mật phần mềm,KCNTT
IT4580,Kỹ thuật phần mềm an toàn ,2(2-0-0-4),2,2,0.7,IT4015,Secure Software Engineering,Kỹ thuật phần mềm an toàn ,KCNTT
IT4630,Phân tích mã độc,2(2-1-0-4),2,3,0.7,"IT3030,IT3040",Malware Analysis,Phân tích mã độc,KCNTT
IT4640,Thu thập và phân tích thông tin an ninh mạng,2(2-0-1-4),2,3.5,0.7,IT4263,Network Security Data Collection and Analysis,Thu thập và phân tích thông tin an ninh mạng,KCNTT
IT4730,An toàn cơ sở dữ liệu,2(2-0-0-4),2,2,0.7,"IT3090,IT4015",Database Security,An toàn cơ sở dữ liệu,KCNTT
IT4840,Chuyên đề An toàn an ninh hệ thống,2(2-0-0-4),2,2,0.7,IT4015,Specialized topics of Information Security,Chuyên đề An toàn an ninh hệ thống,KCNTT
IT4910,Điện toán đám mây,2(2-1-0-4),2,3,0.7,"IT3080,IT3070",Cloud computing,Điện toán đám mây,KCNTT
IT5260,Đồ án tốt nghiệp kỹ sư (ATTT),12(0-0-24-24),12,30,0.5,,Graduation Project,Đồ án tốt nghiệp kỹ sư (ATTT),KCNTT
TEX4074,Thực hành cắt may sản phẩm da giầy,3(0-0-6-6),3,9,0.5,,Practice of footwear and leather goods cutting and sewing,Thực hành cắt may sản phẩm da giầy,KCNDMVTT
TEX4084,Công nghệ gò ráp đế và hoàn tất giầy,2(2-0-0-4),2,2,0.7,,Footwear lasting-soling and finishing technology,Công nghệ gò ráp đế và hoàn tất giầy,KCNDMVTT
FL1105,LIFE 1,3(2-2-0-6),0,4,0.6,,LIFE 1,LIFE 1,KNN
FL1106,LIFE 2,3(2-2-0-6),0,4,0.6,,LIFE 2,LIFE 2,KNN
FL1107,LIFE 3,3(2-2-0-6),0,4,0.6,,LIFE 3,LIFE 3,KNN
FL1108,LIFE 4,3(2-2-0-6),0,4,0.6,,LIFE 4,LIFE 4,KNN
CH4400,Điều khiển các quá trình công nghệ hóa học,3(3-0-1-6),3,4.5,0.7,,Process Control in Chemical Technology,Điều khiển các quá trình công nghệ hóa học,KCNHH
ED3250,Khoa học giao tiếp,3(2-2-0-4),3,4,0.7,,Communicational Science,Khoa học giao tiếp,KSPKT
MSE4081,Công nghệ luyện kim phi cốc,2(2-0-0-4),2,2,0.7,,Non-coking metallurgical processes,Công nghệ luyện kim phi cốc,KKHVCNVL
CH4193,Thí nghiệm cơ sở chuyên ngành,2(0-0-4-4),2,6,0.6,,Professional basic experiments,Thí nghiệm cơ sở chuyên ngành,KCNHH
MSE3530,Đồ án thiết kế xưởng nhiệt luyện,2(1-2-0-4),2,3,0.7,,Course Project on Heat Treament  Equipments and Workshop Designing ,Đồ án thiết kế xưởng nhiệt luyện,KKHVCNVL
MSE4011,"Vật liệu kỹ thuật, lựa chọn và sử dụng ",3(2-2-0-6),3,4,0.7,,Selection and Design of Materials,"Vật liệu kỹ thuật, lựa chọn và sử dụng ",KKHVCNVL
MSE4095,Thực tập kỹ thuật,2(0-0-4-4),2,4,0.7,,Training in factory,Thực tập kỹ thuật,KKHVCNVL
MSE4099,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5,,Bachelor Final Project,Đồ án tốt nghiệp cử nhân,KKHVCNVL
MSE4121,Luyện thép hợp kim,2(2-0-1-4),2,3.5,0.7,,Alloy Steel Refining,Luyện thép hợp kim,KKHVCNVL
MSE4131,Công nghệ đúc phôi thép,2(2-0-1-4),2,3.5,0.7,,Steel Casting Technology,Công nghệ đúc phôi thép,KKHVCNVL
MSE4161,Đồ án công nghệ gang thép,2(0-2-0-4),2,4,0.7,,Academic Project on Iron and Steel,Đồ án công nghệ gang thép,KKHVCNVL
MSE4171,"Công nghệ luyện thép lò điện, lò thổi",2(2-0-1-4),2,3.5,0.7,,"BOF, EAF Steelmaking Technique","Công nghệ luyện thép lò điện, lò thổi",KKHVCNVL
MSE4172,Chuyên đề luyện Gang thép,2(2-0-1-4),2,3.5,0.7,,Special Topics in Ferrous Metallurgy,Chuyên đề luyện Gang thép,KKHVCNVL
MSE4191,Ứng dụng tin học trong công nghệ gang thép,2(2-0-0-4),2,2,0.7,,Infomatics Application in Iron and Steelmaking,Ứng dụng tin học trong công nghệ gang thép,KKHVCNVL
MSE4221,Vật liệu Compozit,3(3-0-0-6),3,3,0.7,,Composite materials,Vật liệu Compozit,KKHVCNVL
MSE4231,Luyện kim loại màu nhẹ,3(3-0-1-6),3,4.5,0.7,,Metallurgy of Light Non-ferrous Metals,Luyện kim loại màu nhẹ,KKHVCNVL
MSE4232,Luyện kim bột và compozit,3(3-0-1-6),3,4.5,0.7,,Powder Metallurgy and Composite Science,Luyện kim bột và compozit,KKHVCNVL
MSE4241,Động học các phản ứng luyện kim,2(2-0-0-4),2,2,0.7,,Kinetic of Metallurgical Reactions,Động học các phản ứng luyện kim,KKHVCNVL
MSE4252,Đồ án thiết kế và tổng hợp vật liệu bằng phương pháp luyện kim bột,2(1-2-0-4),2,3,0.7,,Technological Design of Recovering Heavy non-ferrous Metals,Đồ án thiết kế và tổng hợp vật liệu bằng phương pháp luyện kim bột,KKHVCNVL
MSE4271,Vật liệu kỹ thuật điện,2(2-0-1-4),2,3.5,0.7,,Electrical engineering materials,Vật liệu kỹ thuật điện,KKHVCNVL
MSE4272,Luyện kim loại quý hiếm,2(2-0-0-4),2,2,0.7,,Noble and Rare Earth Metals Metalluargy,Luyện kim loại quý hiếm,KKHVCNVL
MSE4281,Ứng dụng tin học trong luyện kim màu,2(0-2-2-4),2,5,0.7,,Infomatics Application in Non-ferrous Metallurgy,Ứng dụng tin học trong luyện kim màu,KKHVCNVL
MSE4283,Tái sinh kim loại màu & hợp kim,2(2-0-1-4),2,3.5,0.7,,Non-ferrous Metals and alloys Recycle,Tái sinh kim loại màu & hợp kim,KKHVCNVL
MSE4291,Các phương pháp phân tích kim loại,2(2-0-0-4),2,2,0.7,,Composition Analysis of Metal Alloys,Các phương pháp phân tích kim loại,KKHVCNVL
MSE4321,Kỹ thuật nấu luyện hợp kim đúc,3(2-1-1-6),3,4.5,0.7,,Metallurgy of Cast Alloys,Kỹ thuật nấu luyện hợp kim đúc,KKHVCNVL
MSE4411,Thiết bị cán thép hình,3(2-2-0-6),3,4,0.7,,Shaped Rolling Mill,Thiết bị cán thép hình,KKHVCNVL
MSE4421,Công  nghệ cán ống,3(3-0-0-6),3,3,0.7,,Rolling Technology for Tube Product,Công  nghệ cán ống,KKHVCNVL
MSE4422,Công nghệ cán tấm,3(3-0-1-6),3,4.5,0.7,,Rolling Technology for Plates Products,Công nghệ cán tấm,KKHVCNVL
MSE4451,Thiết kế xưởng cán,2(2-0-0-6),2,2,0.7,,Design for a Factory,Thiết kế xưởng cán,KKHVCNVL
MSE4461,Tự động hóa quá trình cán hình,3(3-0-0-6),3,3,0.7,,Automatic Control Shaped Rolling Process,Tự động hóa quá trình cán hình,KKHVCNVL
IT4074,Lý thuyết ngôn ngữ và phương pháp dịch,3(3-1-0-6),3,4,0.5,,Language Theory and Interpretation,Lý thuyết ngôn ngữ và phương pháp dịch,KCNTT
FL2100,Toeic NC1,4(3-3-0-8),0,6,0.7,,Toeic Advanced 1,Toeic NC1,KNN
FL2101,Toeic NC2,4(3-3-0-8),0,6,0.7,,Toeic Advanced 2,Toeic NC2,KNN
FL2102,Toeic NC3,4(3-3-0-8),0,6,0.7,,Toeic Advanced 3,Toeic NC3,KNN
FL2103,Toeic NC4,4(3-3-0-8),0,6,0.7,,Toeic Advanced 4,Toeic NC4,KNN
FL1112,Tiếng Anh 6,2(0-2-2-4),0,5,0.7,,English 6,Tiếng anh 6,KNN
TEX4094,Vật liệu da giầy,2(2-0-1-4),2,3.5,0.6,,Material for footwear and leather goods,Vật liệu da giầy,KCNDMVTT
TEX4104,Tiếng Anh chuyên ngành da giầy,2(1-2-0-4),2,3,0.6,,English for Footwear and Leather Goods,Tiếng anh chuyên ngành da giầy,KCNDMVTT
JP2210,Tiếng Nhật 7,2(0-4-0-4),2,4,0.7,,Japanese 7,Tiếng Nhật 7,KCNTT
JP2220,Tiếng Nhật 8,1(0-2-0-2),1,2,0.7,,Japanese 8,Tiếng Nhật 8,KCNTT
JP3110,Tiếng Nhật chuyên ngành 1,2(0-4-0-4),2,4,0.7,,IT Japanese 1,Tiếng Nhật chuyên ngành 1,KCNTT
JP3120,Tiếng Nhật chuyên ngành 2,2(0-4-0-4),2,4,0.7,,IT Japanese 2,Tiếng Nhật chuyên ngành 2,KCNTT
JP3130,Tiếng Nhật chuyên ngành 3,2(0-4-0-4),2,4,0.7,,IT Japanese 3,Tiếng Nhật chuyên ngành 3,KCNTT
EV2127,Truyền nhiệt trong CNMT,2(2-1-0-4),2,3,0.7,,Heat transfer for environmental engineering,Truyền nhiệt trong CNMT,VKHVCNMT
EV3117,Hóa học môi trường,4(3-1-1-8),4,5.5,0.7,"CH1010,(CH3306/CH3316),CH3225,CH3070",Environmental Chemistry,Hóa học môi trường,VKHVCNMT
EV4119,Kỹ thuật xử lý nước cấp,2(2-1-0-4),2,3,0.7,,Water Treatment Engineering,Kỹ thuật xử lý nước cấp,VKHVCNMT
MSE4462,Nhập môn mô hình hóa và mô phỏng quá trình công nghệ cán,3(2-1-0-6),3,3,0.7,,Modeling and Numerical Simulation of Forming Process,Nhập môn mô hình hóa và mô phỏng quá trình công nghệ cán,KKHVCNVL
MSE4471,Công nghệ cán kim loại kép ,2(2-0-0-4),2,2,0.7,,Bimetal Rolling,Công nghệ cán kim loại kép ,KKHVCNVL
MSE4472,Công nghệ kéo kim loại ,2(2-0-0-4),2,2,0.7,,Metal Drawing Technology,Công nghệ kéo kim loại ,KKHVCNVL
MSE4473,Công nghệ cán giấy kim loại,2(2-0-0-4),2,2,0.7,,Metal Paper Rolling,Công nghệ cán giấy kim loại,KKHVCNVL
MSE4474,Công nghệ ép chảy kim loại,2(2-0-0-4),2,2,0.7,,Metal Extrusion Technology,Công nghệ ép chảy kim loại,KKHVCNVL
MSE4481,Các phương pháp gia công áp lực,2(2-0-0-4),2,2,0.7,,Methods for Forging and Stamping,Các phương pháp gia công áp lực,KKHVCNVL
MSE4491,Biến dạng tạo hình vật liệu bột,2(2-0-0-4),2,2,0.7,,Deformation of Powder Metal,Biến dạng tạo hình vật liệu bột,KKHVCNVL
MSE4511,Các phương pháp phân tích tổ chức và cấu trúc,3(3-0-0-6),3,3,0.7,,Structural Analysis and Characterization,Các phương pháp phân tích tổ chức và cấu trúc,KKHVCNVL
MSE4521,Kim loại và hợp kim phi sắt,3(3-0-0-6),3,3,0.7,,Nonferrous alloys,Kim loại và hợp kim phi sắt,KKHVCNVL
MSE4531,Hợp kim trên cơ sở sắt,3(2-1-1-6),3,4.5,0.7,,Ferrous Alloys,Hợp kim trên cơ sở sắt,KKHVCNVL
MSE4551,Đo lường & xử lý số liệu thực nghiệm,2(2-0-0-4),2,2,0.7,,Metrology and Data Analysis,Đo lường & xử lý số liệu thực nghiệm,KKHVCNVL
MSE4561,"Ứng dụng tin học trong Vật liệu học, xử lý nhiệt và bề mặt",3(2-2-0-6),3,4,0.7,,Modeling in Heat and Surface Treatment Process,"Ứng dụng tin học trong Vật liệu học, xử lý nhiệt và bề mặt",KKHVCNVL
MSE4581,Nhiệt động học trong nhiệt luyện và xử lý bề mặt,2(2-0-0-4),2,2,0.7,,Thermodynamics in Heat and Surface Treatment,Nhiệt động học trong nhiệt luyện và xử lý bề mặt,KKHVCNVL
MSE4591,Các phương pháp kiểm tra không phá hủy,2(2-0-0-4),2,2,0.7,,Non-destructive Testing Methods,Các phương pháp kiểm tra không phá hủy,KKHVCNVL
ME4314,Kỹ thuật CAD/CAM (BTL),2(2-1-0-4),2,3,0.7,,CAD/CAM ,Kỹ thuật CAD/CAM (BTL),KCK
ET5011,Thực tập cuối khóa,3(0-0-6-6),3,7.5,0.5,,Graduation Practicum,Thực tập cuối khóa,KDTVT
ET5111,Đồ án tốt nghiệp kỹ sư,9(0-0-18-18),9,22.5,0.5,,Graduation Project,Đồ án tốt nghiệp kỹ sư,KDTVT
ET4431,Lập trình Java,3(3-0-1-6),3,4.5,0.7,,Java Programming,Lập trình Java,KDTVT
EV5315,TN xử lý chất thải II,3(0-0-6-6),3,9,0.7,"EV3114,EV3221,(EV3117/EV3113),(EV4141/EV4112)",Experiment on waste treatment technology II,TN xử lý chất thải 2,VKHVCNMT
MSE2110,Hỏa luyện,2(2-0-1-4),2,3.5,0.7,,Pyrometallurgical Processes,Hỏa luyện,KKHVCNVL
MSE3510,Công nghệ & thiết bị nhiệt luyện,3(2-1-1-6),3,4.5,0.7,,Heat Treatment Technologies and Equipments ,Công nghệ & thiết bị nhiệt luyện,KKHVCNVL
MSE3520,Công nghệ xử lý bề mặt I,3(3-0-0-6),3,3,0.7,,Surface Treatment Engineering I,Công nghệ xử lý bề mặt I,KKHVCNVL
JP2122,Tiếng Nhật 5,3(0-6-0-6),3,6,0.7,,Japanese 5,Tiếng Nhật 5,KCNTT
HE4414,Kỹ thuật xử lý phát thải,3(2-1-0-6),3,3,0.7,,Environmental Engineering,Kỹ thuật xử lý phát thải,VKHVCNNL
ETxxxx,Đồ án tốt nghiệp (KSTN ĐTVT K55),12(0-0-24-48),12,30,0.5,,Graduation Project,Đồ án tốt nghiệp (KSTN ĐTVT K55),KDTVT
ME3013,Cơ học kỹ thuật 3,2(2-1-0-4),2,3,0.7,,Engineering Mechanics 3,Cơ học kỹ thuật 3,KCK
ME3062,Cơ sở thiết kế máy 2,2(2-1-0-4),2,3,0.7,,Fundamentals of Machine Design 2,Cơ sở thiết kế máy 2,KCK
MSE5140,Vật liệu chịu lửa trong luyện kim,2(2-0-0-4),2,2,0.7,,Refractories in metallurgy,Vật liệu chịu lửa trong luyện kim,KKHVCNVL
MSE5150,Mô hình hóa và điều khiển quá trình luyện kim,3(3-0-0-6),3,3,0.7,,Modeling and controling metallurgical processes,Mô hình hóa và điều khiển quá trình luyện kim,KKHVCNVL
ME3021,Cơ học kỹ thuật II,2(2-1-0-4),2,3,0.7,,Engineering Mechanics II,Cơ học kỹ thuật II,KCK
ME4338,Đồ án thiết kế hệ thống Cơ ĐT 2,3(0-0-6-6),3,6,0.7,,Project in Mechatronic System Design II,Đồ án thiết kế hệ thống Cơ ĐT 2,KCK
MSE5121,Tái sinh vật liệu,2(2-0-0-4),2,2,0.7,,Recycled materials,Tái sinh vật liệu,KKHVCNVL
MSE5180,Thực tập tốt nghiệp,2(0-0-4-4),2,5,0.5,,Graduation Practicum,Thực tập tốt nghiệp,KKHVCNVL
MSE5190,Đồ án tốt nghiệp kỹ sư (KTGT),10(0-0-20-20),10,25,0.5,,Graduation Project,Đồ án tốt nghiệp kỹ sư (KTGT),KKHVCNVL
MSE5111,Kỹ thuật luyện thép lò điện,2(2-0-0-4),2,2,0.7,,Steelmaking in electric arc furnace,Kỹ thuật luyện thép lò điện,KKHVCNVL
EV2126,Thủy lực trong CNMT,3(2-1-1-6),3,4.5,0.7,,Hydraulics for environmental engineering,Thủy lực trong CNMT,VKHVCNMT
TEX4114,Thiết bị da giầy,2(2-0-0-4),2,2,0.7,,Shoe manufacturing equipment,Thiết bị da giầy,KCNDMVTT
TEX4124,Thiết kế công nghệ quá trình sản xuất giầy,2(0-0-4-4),2,6,0.5,,Technology Design of Footwear Production,Thiết kế công nghệ quá trình sản xuất giầy,KCNDMVTT
TEX4134,Thiết kế dây chuyền sản xuất giầy,2(1-2-0-4),2,3,0.6,,Design of shoe manufacturing line,Thiết kế dây chuyền sản xuất giầy,KCNDMVTT
TEX4144,Thực hành công nghệ sản xuất giầy,2(0-0-4-4),2,6,0.5,,Practice of Footwear Technology,Thực hành công nghệ sản xuất giầy,KCNDMVTT
TEX4914,Thực tập kỹ thuật,2(0-0-6-4),2,4,0.6,,Engineering Practicum,Thực tập kỹ thuật,KCNDMVTT
TEX4924,Đồ án tốt nghiệp,6(0-0-12-12),6,15,0.5,,Graduation Project,Đồ án tốt nghiệp,KCNDMVTT
ED3260,Tâm lí học nghề nghiệp,2(1-0-2-4),2,4,0.7,,Professions Psychology,Tâm lí học nghề nghiệp,KSPKT
ED3270,Đánh giá và kiểm định chất lượng giáo dục,2(2-1-0-4),2,3,0.7,,Assessment and Accreditation in Educational Quality,Đánh giá và kiểm định chất lượng giáo dục,KSPKT
FL1113,Tiếng Anh 7,3(0-6-0-6),0,6,0.7,,English 7,Tiếng anh 7,KNN
CH1012,Hóa học 1,2(2-1-0-4),2,3,0.7,,Chemistry 1,Hóa học 1,KCNHH
IT3024,Toán rời rạc,2(2-1-0-4),2,3,0.7,,Discrete Mathematics,Toán rời rạc,KCNTT
IT3914,Đồ án lập trình ,2(0-0-0-4),2,4,0.7,,Project (Programing),Đồ án lập trình ,KCNTT
IT3804,Thực tập doanh nghiệp,2(0-0-6-4),2,4,0.7,,Industry Internship,Thực tập doanh nghiệp,KCNTT
IT4364,Phân tích thiết kế hệ thống,3(2-2-0-6),3,4,0.7,,System Analysis and Design,Phân tích thiết kế hệ thống,KCNTT
IT5334,Hệ thống thông tin địa lý,3(2-2-0-6),3,4,0.7,,Geographic Information Systems,Hệ thống thông tin địa lý,KCNTT
IT4044,Trí tuệ nhân tạo,3(3-0-0-6),3,3,0.7,,Artificial Intelligence,Trí tuệ nhân tạo,KCNTT
IT4434,Đồ án các công nghệ xây dựng hệ thống thông tin,3(0-0-6-6),3,6,0.7,,Information System Development Project,Đồ án các công nghệ xây dựng hệ thống thông tin,KCNTT
IT4694,Mạng số và truyền dữ liệu,3(2-1-1-6),3,4.5,0.7,,Network and Data Communication,Mạng số và truyền dữ liệu,KCNTT
IT4244,Quản trị dự án CNTT,2(2-1-0-4),2,3,0.6,,IT Project Management,Quản trị dự án CNTT,KCNTT
IT5384,Lưu trữ và phân tích dữ liệu lớn,3(2-2-0-6),3,4,0.7,,Big Data Analysis and Storage,Lưu trữ và phân tích dữ liệu lớn,KCNTT
IT4324,An toàn trong giao dịch điện tử,2(2-1-0-6),2,3,0.7,,Secure electronic transactions,An toàn trong giao dịch điện tử,KCNTT
IT5904,Đồ án tốt nghiệp,12(0-0-24-48),12,30,0.5,,Graduation Project,Đồ án tốt nghiệp,KCNTT
BIT3020,Toán rời rạc,3(3-1-0-6),3,4,0.7,,Discrete Mathematics,Toán rời rạc,VDTLT
BIT3070,Hệ điều hành,3(3-1-0-6),3,4,0.7,,Operating Systems,Hệ điều hành,VDTLT
BIT3110,LINUX và phần mềm nguồn mở,2(2-1-0-4),2,3,0.7,,Linux and Open Source Software,LINUX và phần mềm nguồn mở,VDTLT
BIT3430,Kỹ thuật điện tử tương tự và số,3(3-1-0-6),3,4,0.7,,Analog and Digital Electronics,Kỹ thuật điện tử tương tự và số,VDTLT
BIT3040,Kỹ thuật lập trình,2(2-1-0-4),2,3,0.7,,Programming Techniques,Kỹ thuật lập trình,VDTLT
BIT4020,Nhập môn lý thuyết tính toán,3(3-1-0-6),3,4,0.7,,Introduction to Theory of Computation,Nhập môn lý thuyết tính toán,VDTLT
ET4498,Quang học y sinh,3(3-1-0-6),3,4,0.7,,Biomedical Optics,Quang h?c y sinh,KDTVT
EE3425,Hệ thống cung cấp điện,3(3-0-1-6),3,4.5,0.75,EE2021/EE2020,Power Supply Systems,Hệ thống cung cấp điện,KD
TEX5004,Vệ sinh sinh thái sản phẩm da giầy,2(2-0-0-4),2,2,0.7,,Hygiene and ecology of footwear and leather goods,Vệ sinh sinh thái sản phẩm da giầy,KCNDMVTT
TEX5014,Thiết kế giầy chuyên dụng,2(2-0-0-4),2,2,0.6,,Special shoe design,Thiết kế giầy chuyên dụng,KCNDMVTT
TEX5024,Tạo mẫu sản phẩm da giầy,3(2-0-2-6),3,5,0.6,,Fashion Design of Footwear and Leather Goods ,Tạo mẫu sản phẩm da giầy,KCNDMVTT
TEX5034,Thiết kế phom giầy,2(1-2-0-4),2,3,0.6,,Shoe Lasts Design,Thiết kế phom giầy,KCNDMVTT
TEX5044,Tin học ứng dụng trong tạo mẫu sản phẩm da giầy,2(0-0-4-4),2,6,0.6,,Applied Informatics in Footwear and Leather Goods Fashion Design,Tin học ứng dụng trong tạo mẫu sản phẩm da giầy,KCNDMVTT
TEX5054,Tin học ứng dụng trong thiết kế phom giầy,2(0-0-4-4),2,6,0.5,,Applied Informatics in Shoe Lasts Design,Tin học ứng dụng trong thiết kế phom giầy,KCNDMVTT
TEX5064,Đồ án thiết kế mặt hàng da giầy,3(0-0-6-6),3,6,0.5,,Project of Designing Footwear and Leather Goods,Đồ án thiết kế mặt hàng da giầy,KCNDMVTT
TEX5924,Thực tập tốt nghiệp,3(0-0-9-6),3,7.5,0.5,,Graduation Practicum,Thực tập tốt nghiệp,KCNDMVTT
TEX5914,Đồ án tốt nghiệp kỹ sư,9(0-0-18-18),9,22.5,0.5,,Graduation Project,Đồ án tốt nghiệp kỹ sư,KCNDMVTT
TEX5074,Hóa chất và polime ngành da giầy,2(2-0-0-4),2,2,0.7,,Chemical and Polymer for Footwear and Leather Goods Manufacture,Hóa chất và polime ngành da giầy,KCNDMVTT
TEX5084,Công nghệ sản xuất giầy chuyên dụng,2(2-0-0-4),2,2,0.7,,Technology of special shoe manufacture,Công nghệ sản xuất giầy chuyên dụng,KCNDMVTT
TEX5094,Định mức & tổ chức lao động khoa học trong sản xuất giầy & sản phẩm da,2(2-0-0-4),2,2,0.6,,Organization and Labour Norm in Footwear and Leather Goods Industry,Định mức & tổ chức lao động khoa học trong sản xuất giầy & sản phẩm da,KCNDMVTT
TEX5104,Kiểm tra chất lượng sản phẩm da giầy,2(2-1-0-4),2,3,0.6,,Quality inspection of footwear and leather goods,Kiểm tra chất lượng sản phẩm da giầy,KCNDMVTT
TEX5114,Công nghệ hóa học trong sản xuất sản phẩm da giầy,2(2-0-0-4),2,2,0.7,,Chemical Technology for Footwear and Leather Goods Manufacture,Công nghệ hóa học trong sản xuất sản phẩm da giầy,KCNDMVTT
TEX5124,Thiết kế nhà máy giầy,2(2-0-0-4),2,2,0.6,,Design of shoe factory,Thiết kế nhà máy giầy,KCNDMVTT
MSE5631,Công nghệ vật liệu siêu sạch,3(3-1-0-6),3,4,0.7,,Superclean materials Technologies,Công nghệ vật liệu siêu sạch,KKHVCNVL
MSE5641,Ứng dụng tin học trong vật liệu kim loại màu và compozit,3(1-4-0-6),3,5,0.7,,Computation of non-ferrous metals and composites,Ứng dụng tin học trong vật liệu kim loại màu và compozit,KKHVCNVL
MSE5210,"Luyện kim loại đất hiếm, phóng xạ",3(3-1-0-6),3,4,0.7,,Production of rare-earth and radiative metals,"Luyện kim loại đất hiếm, phóng xạ",KKHVCNVL
MSE5211,Công nghệ điện phân trong dung dịch nước,2(2-0-1-4),2,3.5,0.7,,Electrolytic metallurgy ,Công nghệ điện phân trong dung dịch nước,KKHVCNVL
MSE5213,Vật liệu compozit nền kim loại,2(2-0-1-4),2,3.5,0.7,,Metal matrix composites,Vật liệu compozit nền kim loại,KKHVCNVL
MSE5212,Vật liệu bột mịn và siêu mịn,2(2-0-1-4),2,3.5,0.7,,Fine and superfine powder materials,Vật liệu bột mịn và siêu mịn,KKHVCNVL
MSE5222,Vật liệu compozit nền gốm và polyme,2(2-0-1-4),2,3.5,0.7,,Polymer- and ceramic-matrix composites,Vật liệu compozit nền gốm và polyme,KKHVCNVL
MSE5280,Thực tập tốt nghiệp,2(0-0-4-4),2,5,0.5,,Graduation Practicum,Thực tập tốt nghiệp,KKHVCNVL
CH4716,Cơ sở thiết kế nhà máy in,3(3-1-0-6),3,4,0.75,CH3600,Fundamentals of Printing Factory Design,Cơ sở thiết kế nhà máy in,KCNHH
TE5831,Tải trọng và độ bền kết cấu vật bay (BTL),3(2-2-0-6),3,4,0.7,,Loads and strength of flight vehicle structures (Project),Tải trọng và độ bền kết cấu vật bay (BTL),VCKDL
TE5841,Ứng dụng phương pháp số trong tính toán kết cấu hàng không (BTL),3(2-2-0-6),3,4,0.7,,Application of Numerical Methods in Computation of Aircraft Structures (Project),Ứng dụng phương pháp số trong tính toán kết cấu hàng không (BTL),VCKDL
ME4356,Thực tập tốt nghiệp,3(0-0-6-6),3,7.5,0.5,,Graduation Practicum,Thực tập tốt nghiệp,KCK
ME4366,Đồ án tốt nghiệp Kỹ sư,9(0-0-18-18),9,22.5,0.5,,Graduation Project,Đồ án tốt nghiệp Kỹ sư,KCK
IT5130,Đồ án tốt nghiệp Kỹ sư,12(0-0-24-48),12,30,0.5,,Graduation Project,Đồ án tốt nghiệp Kỹ sư,KCNTT
MSE5112,Kỹ thuật luyện thép lò thổi,2(2-0-0-4),2,2,0.7,,Steelmaking in blowing oxygen furnace,Kỹ thuật luyện thép lò thổi,KKHVCNVL
MSE5122,Thiêu kết và tạo viên quặng,2(2-0-0-4),2,2,0.7,,Sintering and pelleting iron ore,Thiêu kết và tạo viên quặng,KKHVCNVL
MSE5170,Xử lý sự cố trong nhà máy gang thép,2(2-0-0-4),2,2,0.7,,Handling failure in iron and steelmaking factory,Xử lý sự cố trong nhà máy gang thép,KKHVCNVL
MSE5116,Đồ án thiết kế quá trình công nghệ gang thép,2(0-4-0-4),2,4,0.7,,Project on designing iron and steelmaking processes,Đồ án thiết kế quá trình công nghệ gang thép,KKHVCNVL
IT3074,Hệ điều hành,2(2-1-0-4),2,3,0.7,,Operating Systems,Hệ điều hành,KCNHH
BIT3080,Mạng máy tính,3(3-1-0-6),3,4,0.7,,Computer Networks,Mạng máy tính,VDTLT
BIT3090,Cơ sở dữ liệu,3(3-1-0-6),3,4,0.7,,Database,Cơ sở dữ liệu,VDTLT
BIT4030,Nhập môn hệ quản trị CSDL,2(1-2-0-4),2,3,0.7,,Introduction to Database Management Systems,Nhập môn hệ quản trị CSDL,VDTLT
BIT3100,Lập trình hướng đối tượng,2(2-1-0-4),2,3,0.7,,Object-Oriented Programming,Lập trình hướng đối tượng,VDTLT
